Spanish,English
de,of
que,that
no,No
el,he
y,and
es,is
en,in
un,a
por,by
qué,that
me,I
una,a
los,the
con,with
para,for
mi,my
pero,but
sí,yes
bien,good
eso,that
su,his
las,the
yo,I
del,of the
como,as
aquí,here
tu,you
al,to the
más,further
le,you
esto,this
todo,all
ya,already
estoy,I'm
ahora,now
muy,very
esta,this
vamos,come on
algo,something
hay,there is
bueno,Well
tengo,I have
él,he
cuando,when
estás,are
tú,you
nos,us
nada,nothing
cómo,as
este,this
o,either
ser,be
tiene,has
puedo,I can
ella,she
quiero,wanna
hacer,do
fue,was
gracias,thank you
vez,time
era,was
soy,am
sólo,only
todos,all
porque,because
son,are
tienes,have
creo,believe
voy,go
sabes,You know
estaba,was
puede,can
eres,are
ese,that
usted,you
entonces,so
hola,hello
solo,only
verdad,truth
casa,home
tan,so
quién,who
sus,their
tiempo,time
dos,two
esa,that
nunca,never
dónde,where
va,goes
mucho,a lot
mí,my
quieres,want
siento,I feel
señor,Sir
mejor,better
hace,does
has,you have
decir,say
también,also
sobre,about
dios,God
sin,without
tenemos,have
están,are
ti,you
puedes,can
ver,see
hombre,man
vida,life
alguien,someone
cosas,things
siempre,always
hasta,until
ahí,there
ir,go
años,years
antes,before
estar,be
ni,neither
poco,bit
día,day
uno,one
noche,evening
hecho,made
mis,my
estamos,we are
otra,other
acuerdo,agreement
trabajo,job
nosotros,us
parece,seems
gente,people
sea,be
padre,father
mira,look
mismo,same
dijo,said